codebase,area
A6425-0148-00,5736.20404482232
A6426-0087-00,16336.6864666452
A6426-0091-00,19322.4685674781
A6425-0159-00,55675.5471068302
A6426-0083-00,3034.78964115344
A6425-0156-00,42048.03357441
A6423-0021-00,768872.438128378
A6423-0004-00,230502.634056171
A6431-0114-00,170993.287556342
A6425-0185-00,160054.120542581
A6426-0128-00,30775.8635264925
A6431-0103-00,41938.4751361122
A6422-0019-00,1707813.08203137
A6425-0208-00,36534.5890228596
A6423-0029-00,508903.2320354
A6423-0016-00,6912.0976451747
A6430-0148-00,38862.9425539352
A6430-0144-00,17520.3064447118
A6430-0152-00,99572.379968699
A6425-0223-00,193048.317182055
A6426-0174-00,7180.03288173291
A6423-0019-00,16057.6663542562
A6423-0023-00,25265.1805068992
A6423-0042-00,103973.045779963
A6425-0239-00,199121.865888465
A6426-0192-00,2929.73244066201
A6423-0045-00,141511.519987041
A6425-0230-00,16789.431086446
A6423-0043-00,118729.564723264
A6423-0066-00,118499.683563867
A6425-0268-00,227829.259790606
A6423-0069-00,135080.602092456
A6423-0071-00,157061.5481091
A6426-0213-00,1147616.01003875
A6423-0075-00,121043.872514836
A6423-0065-00,148273.899945043
A6431-0190-00,292575.706961395
A6430-0212-00,17381.9124415261
A6430-0211-00,14292.5749158
A6425-0280-00,50983.3558349188
A6424-0017-00,161973.691479706
A6431-0194-00,227352.261960585
A6423-0093-00,62512.8606281578
A6423-0083-00,9445.22478892783
A6423-0085-00,22621.2432046118
A6425-0329-00,70530.308198562
A6423-0175-00,63524.4041793686
A6424-0055-00,146369.202397953
A6424-0042-00,37376.3470960769
A6423-0188-00,548131.225628182
A6426-0233-00,22928.1976759085
A6430-0270-00,235604.051956906
A6430-0295-00,626806.213003436
A6423-0143-00,185538.557892134
A6426-0218-00,8215.60375506141
A6431-0215-00,176933.433563604
A6434-0156-00,200881.77335022
A6435-0170-00,227043.592507365
A6435-0204-00,244601.778762088
A6435-0203-00,352987.708499143
A6430-0047-00,181090.037310218
A6435-0227-00,145438.53569557
A6431-0014-00,1362390.24798665
A6435-0231-00,282226.702665641
A6430-0066-00,361184.095533806
A6431-0012-00,1108665.40263751
A6430-0063-00,157456.666046081
A6435-0256-00,218366.525883491
A6435-0263-00,200090.219361468
A6431-0021-00,221019.739616993
A6431-0019-00,159839.262767027
A6430-0093-00,244036.821061891
A6426-0033-00,87618.4722473704
A6426-0014-00,1786.51659708758
A6425-0007-00,48220.0229869557
A6425-0005-00,10227.2434172196
A6425-0014-00,212240.977266681
A6435-0299-00,196597.269996629
A6436-0004-00,77288.6041601565
A6426-0047-00,7821.5469645303
A6425-0021-00,13385.153900029
A6425-0082-00,281802.556341193
A6425-0024-00,17983.7597715898
A6431-0057-00,214272.798426514
A6432-0113-00,91651.8707554358
A6430-0108-00,331865.494830987
A6425-0096-00,7484.42317676333
A6425-0090-00,8883.82208009887
A6425-0091-00,9494.93333308333
A6425-0092-00,6362.84212454154
A6425-0104-00,32122.5482496687
A6425-0108-00,36482.0815308916
A6425-0095-00,4379.85349649094
A6425-0105-00,18237.0010928822
A6425-0158-00,64687.9898794911
A6430-0115-00,246092.167844531
A6431-0091-00,158349.727678452
A6425-0153-00,28554.0198495737
A6426-0086-00,4797.15626335694
A6426-0102-00,124208.586496837
A6431-0081-00,42624.6802461613
A6431-0082-00,76356.6465312383
